Episode 131, Score: 711.157, Steps: 6060, Episode Time: 0h 1m 5.758839130401611s
Episode 132, Score: 708.374, Steps: 8860, Episode Time: 0h 1m 34.92298245429993s
Episode 133, Score: 1641.6, Steps: 5878, Episode Time: 0h 1m 3.3218164443969727s
Episode 134, Score: 500.247, Steps: 5969, Episode Time: 0h 1m 4.719124794006348s
Episode 135, Score: 2713.49, Steps: 5878, Episode Time: 0h 1m 3.4162425994873047s
Episode 136, Score: 903.428, Steps: 16819, Episode Time: 0h 2m 57.67507004737854s
Episode 137, Score: 313.339, Steps: 6160, Episode Time: 0h 1m 6.600285053253174s
Episode 138, Score: 480.421, Steps: 7060, Episode Time: 0h 1m 15.706465482711792s
Episode 139, Score: 923.598, Steps: 16819, Episode Time: 0h 2m 59.26427507400513s
Episode 140, Score: 452.817, Steps: 16819, Episode Time: 0h 3m 5.800431251525879s
Episode 141, Score: 703.928, Steps: 5878, Episode Time: 0h 1m 15.602699279785156s
Episode 142, Score: 680.199, Steps: 5969, Episode Time: 0h 1m 22.139131546020508s
Episode 143, Score: 2709.53, Steps: 5878, Episode Time: 0h 1m 40.130414724349976s
Episode 144, Score: 1349.77, Steps: 9660, Episode Time: 0h 2m 52.7861692905426s
Episode 145, Score: 343.184, Steps: 5969, Episode Time: 0h 1m 55.946046113967896s
Episode 146, Score: 1701.98, Steps: 5787, Episode Time: 0h 1m 46.200170278549194s
Episode 147, Score: 483.77, Steps: 5969, Episode Time: 0h 1m 26.728700637817383s
Episode 148, Score: 479.611, Steps: 5878, Episode Time: 0h 1m 8.32360315322876s
Episode 149, Score: 481.519, Steps: 6260, Episode Time: 0h 1m 13.73958134651184s
Episode 150, Score: 1335.72, Steps: 14760, Episode Time: 0h 2m 47.066452741622925s
Episode 151, Score: 474.511, Steps: 16825, Episode Time: 0h 3m 18.03587508201599s
Episode 152, Score: 706.122, Steps: 6160, Episode Time: 0h 1m 14.877406358718872s
Episode 153, Score: 708.205, Steps: 5878, Episode Time: 0h 1m 4.499624490737915s
Episode 154, Score: 2701.48, Steps: 5787, Episode Time: 0h 1m 2.438110828399658s
Episode 155, Score: 253.361, Steps: 16819, Episode Time: 0h 2m 58.59440994262695s
Episode 156, Score: 2274.11, Steps: 16819, Episode Time: 0h 2m 57.46623349189758s
Episode 157, Score: 207.551, Steps: 6060, Episode Time: 0h 1m 6.021561145782471s
Episode 158, Score: 2477.84, Steps: 5969, Episode Time: 0h 1m 4.026439428329468s
Episode 159, Score: 427.208, Steps: 16920, Episode Time: 0h 2m 55.074647665023804s
Episode 160, Score: 299.88, Steps: 16819, Episode Time: 0h 2m 55.01973915100098s
Episode 161, Score: 943.473, Steps: 16819, Episode Time: 0h 2m 55.315470457077026s
Episode 162, Score: 479.518, Steps: 16819, Episode Time: 0h 2m 55.347628355026245s
Episode 163, Score: 134.626, Steps: 16819, Episode Time: 0h 2m 55.161903619766235s
Episode 164, Score: 479.341, Steps: 16819, Episode Time: 0h 2m 54.46601963043213s
Episode 165, Score: 1110.5, Steps: 16819, Episode Time: 0h 2m 55.28719449043274s
Episode 166, Score: 45.3015, Steps: 16819, Episode Time: 0h 2m 54.58546686172485s
Episode 167, Score: 55.3823, Steps: 16819, Episode Time: 0h 3m 0.46874308586120605s
Episode 168, Score: 78.8274, Steps: 16819, Episode Time: 0h 3m 4.542788028717041s
Episode 169, Score: 1320.11, Steps: 16819, Episode Time: 0h 3m 21.592793703079224s
Episode 170, Score: 72.666, Steps: 16819, Episode Time: 0h 3m 2.6412830352783203s
Episode 171, Score: 1194.14, Steps: 16819, Episode Time: 0h 2m 59.06920099258423s
Episode 172, Score: 1706.32, Steps: 16819, Episode Time: 0h 2m 57.91988658905029s
Episode 173, Score: 674.512, Steps: 16819, Episode Time: 0h 2m 59.318400144577026s
Episode 174, Score: 484.452, Steps: 16819, Episode Time: 0h 2m 54.312169313430786s
Episode 175, Score: 283.739, Steps: 16819, Episode Time: 0h 2m 54.68267226219177s
Episode 176, Score: 293.32, Steps: 16819, Episode Time: 0h 2m 55.232089042663574s
Episode 177, Score: 899.667, Steps: 16819, Episode Time: 0h 2m 54.92895245552063s
Episode 178, Score: 289.755, Steps: 16819, Episode Time: 0h 2m 55.9161331653595s
Episode 179, Score: 570.199, Steps: 16819, Episode Time: 0h 2m 59.06625485420227s
Episode 180, Score: 571.892, Steps: 16819, Episode Time: 0h 2m 58.83341145515442s
Episode 181, Score: 489.708, Steps: 16819, Episode Time: 0h 3m 8.614237785339355s
Episode 182, Score: 909.129, Steps: 16819, Episode Time: 0h 3m 21.053654193878174s
Episode 183, Score: 288.663, Steps: 16899, Episode Time: 0h 3m 18.603035926818848s
Episode 184, Score: 1472.92, Steps: 16819, Episode Time: 0h 3m 6.862164497375488s
Episode 185, Score: 703.566, Steps: 6160, Episode Time: 0h 1m 7.045340538024902s
Episode 186, Score: 304.448, Steps: 16940, Episode Time: 0h 2m 59.109200954437256s
Episode 187, Score: 476.063, Steps: 16819, Episode Time: 0h 2m 58.30985236167908s
Episode 188, Score: 480.157, Steps: 16819, Episode Time: 0h 2m 57.484246015548706s
Episode 189, Score: 578.997, Steps: 16819, Episode Time: 0h 2m 55.88553476333618s
Episode 190, Score: 912.501, Steps: 16819, Episode Time: 0h 2m 55.85684108734131s
Episode 191, Score: 197.5, Steps: 16819, Episode Time: 0h 2m 54.88022828102112s
Episode 192, Score: 466.552, Steps: 14060, Episode Time: 0h 2m 26.87161087989807s
Episode 193, Score: 484.486, Steps: 14960, Episode Time: 0h 2m 35.97564196586609s
Episode 194, Score: 1927.22, Steps: 16819, Episode Time: 0h 2m 55.4136323928833s
Episode 195, Score: 1450.61, Steps: 14360, Episode Time: 0h 2m 29.624997854232788s
Episode 196, Score: 2720.54, Steps: 6260, Episode Time: 0h 1m 6.580869197845459s
Episode 197, Score: 481.589, Steps: 13360, Episode Time: 0h 2m 19.52954387664795s
Episode 198, Score: 619.186, Steps: 16819, Episode Time: 0h 2m 57.22908544540405s
Episode 199, Score: 911.182, Steps: 16819, Episode Time: 0h 2m 54.48831915855408s
Episode 200, Score: 2723.57, Steps: 6660, Episode Time: 0h 1m 10.891623973846436s
Episode 201, Score: 478.65, Steps: 16819, Episode Time: 0h 2m 55.19914174079895s
Episode 202, Score: 2707.18, Steps: 6160, Episode Time: 0h 1m 5.425491571426392s
