Episode 98, Score: 11.551, Steps: 16819, Episode Time: 0h 3m 4.865104913711548s
Episode 99, Score: 118.522, Steps: 16819, Episode Time: 0h 2m 57.96965503692627s
Episode 100, Score: 264.036, Steps: 16819, Episode Time: 0h 2m 59.89956021308899s
Episode 101, Score: 464.081, Steps: 16819, Episode Time: 0h 3m 6.728684663772583s
Episode 102, Score: 8.56323, Steps: 16819, Episode Time: 0h 3m 3.555478572845459s
Episode 103, Score: 7.55078, Steps: 16819, Episode Time: 0h 3m 4.030450105667114s
Episode 104, Score: 11.0571, Steps: 16819, Episode Time: 0h 3m 5.060277462005615s
Episode 105, Score: 10.0308, Steps: 16819, Episode Time: 0h 3m 6.2230918407440186s
Episode 106, Score: 7.77222, Steps: 16819, Episode Time: 0h 3m 7.491744041442871s
Episode 107, Score: 9.74609, Steps: 16819, Episode Time: 0h 3m 0.5758302211761475s
Episode 108, Score: 7.58423, Steps: 16819, Episode Time: 0h 2m 56.701664209365845s
Episode 109, Score: 8.69409, Steps: 16819, Episode Time: 0h 2m 57.042949199676514s
Episode 110, Score: 69.908, Steps: 16819, Episode Time: 0h 2m 57.70899200439453s
Episode 111, Score: 20.8774, Steps: 16819, Episode Time: 0h 3m 1.2792794704437256s
Episode 112, Score: 7.5564, Steps: 16819, Episode Time: 0h 3m 1.6114873886108398s
Episode 113, Score: 7.69067, Steps: 16819, Episode Time: 0h 3m 2.2014660835266113s
Episode 114, Score: -1.80078, Steps: 16819, Episode Time: 0h 3m 0.5904290676116943s
Episode 115, Score: 10.3391, Steps: 16819, Episode Time: 0h 2m 59.916183948516846s
Episode 116, Score: 9.98096, Steps: 16819, Episode Time: 0h 3m 10.138028621673584s
Episode 117, Score: 17.6304, Steps: 16819, Episode Time: 0h 3m 0.024621009826660156s
Episode 118, Score: 28.4575, Steps: 16819, Episode Time: 0h 3m 5.624782085418701s
Episode 119, Score: -2.79614, Steps: 16819, Episode Time: 0h 3m 5.018350124359131s
Episode 120, Score: 2.68335, Steps: 16819, Episode Time: 0h 3m 13.755523681640625s
Episode 121, Score: 1.5249, Steps: 16819, Episode Time: 0h 3m 1.796844244003296s
Episode 122, Score: -5.25342, Steps: 16819, Episode Time: 0h 2m 57.99391770362854s
Episode 123, Score: 35.2949, Steps: 16819, Episode Time: 0h 3m 10.404152631759644s
Episode 124, Score: -7.5708, Steps: 16819, Episode Time: 0h 3m 7.161761045455933s
Episode 125, Score: 0.378662, Steps: 16819, Episode Time: 0h 3m 5.48798131942749s
Episode 126, Score: 1.99854, Steps: 16819, Episode Time: 0h 3m 0.7263669967651367s
Episode 127, Score: 2.36792, Steps: 16819, Episode Time: 0h 3m 0.9751424789428711s
Episode 128, Score: 5.03467, Steps: 16819, Episode Time: 0h 3m 7.649285078048706s
Episode 129, Score: -0.530762, Steps: 16819, Episode Time: 0h 3m 6.63306999206543s
Episode 130, Score: -2.22266, Steps: 16819, Episode Time: 0h 3m 4.182796955108643s
Episode 131, Score: -0.597168, Steps: 16819, Episode Time: 0h 3m 4.226091623306274s
Episode 132, Score: -2.24292, Steps: 16819, Episode Time: 0h 3m 7.158371210098267s
Episode 133, Score: -0.839844, Steps: 16819, Episode Time: 0h 3m 4.665299415588379s
Episode 134, Score: -3.65308, Steps: 16819, Episode Time: 0h 3m 1.8619189262390137s
Episode 135, Score: -2.33691, Steps: 16819, Episode Time: 0h 3m 3.942673921585083s
Episode 136, Score: -5.4856, Steps: 16819, Episode Time: 0h 3m 8.3231201171875s
Episode 137, Score: -1.09814, Steps: 16819, Episode Time: 0h 3m 8.65151309967041s
Episode 138, Score: -8.10522, Steps: 16819, Episode Time: 0h 3m 6.009449481964111s
Episode 139, Score: -1.2439, Steps: 16819, Episode Time: 0h 2m 56.63798213005066s
